taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Bellis perennis,perennial;perennials;hemicryptophyte,"Lawns and moist, waste places, roadsides",Stem erect ;Stem ascending to prostrate ,Rhizome shortly creeping;epigeogeneous stems;Rhizomes,Rhizomes,0.055;0.03;0.12,,,,,,basal;rosette,broad;attenuate;simple;obovate,attenuate;obtuse,attenuate;rounded,crenate;toothed,hairy,0.4;4,8;2,0.6;4,8;4,,,,,,,yellow,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   ant;bird;water;   sheep;   car or other vehicle;   cattle;domestic animal;   clothes and footwear;   earthworm;   commerce,,,200,100-1000,,,,,,,18,fibrous;adventitious,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 14}, 'fna': {'text': 10, 'tabular': 1}}"
Berula erecta,perennial;perennials;helophyte,,"Stem ascending to prostrate ;Stem prostrate ;Stem erect ;Submerged, attached to the substrate;Emergent, attached to the substrate ",rooting horizontal stems at or above soil surface;stoloniferous;epigeogeneous stems;hypogeogeneous stems;Irregularly fragmenting (mainly water plants),stem;stoloniferous;Stem,0.2-1;0.65; 0.3; 0.475;0.3;1.0,glabrous,glabrous,,pinnate,sheathing,,compound,acute,,toothed;serrate,glabrous,30,30,30,30,,,,,,,white,,white,,,,,,,,,insect,,,,orbicular;broader,,,,,,water;   standing fresh water,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 11}, 'fna': {'tabular': 0}}"
Betula nana,perennials;phanerophyte,Tundra;Poor fens,procumbent;Stem ascending to prostrate ;Shrub;Stem prostrate ;Stem erect ;Shrubs,rooting horizontal stems at or above soil surface;buds;adventitious buds on roots;Rhizome shortly creeping;creeping,stems,1.0; 0.55; 0.19;1.0;1,soft hairs,soft hairs,,,,lateral,obovate;broader;simple;orbicular;reniform,obtuse,cordate;rounded,crenate,glabrous,1.5,2,1.5,2,,,,,,oblong;cylindrical;cuneate,pale brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'text': 6, 'tabular': 0}}"
Betula pubescens,perennials;phanerophyte,,Trees;shrubs;Stem erect ;shrub;Tree,hypogeogeneous stems;adventitious buds on roots;sucker;Buds;Little or no vegetative spread,stem;stems;trunks;trunk,20.0;20;20.0; 30.0; 25.0,soft hairs,soft hairs,,,,,ovate;rhombic;simple;serrate,ovate;acute,,toothed;ovate;serrate,soft hairs,3,4,3,4,,,,,,drooping;broad;lanceolate;oblong;triangular;cuneate,pale brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water,bristly;hairs,,,1,,,,,,,,tap root,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 14}, 'fna': {'text': 6, 'tabular': 0}}"
Brachypodium sylvaticum,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland,Stem erect ;Stem ascending to prostrate ,Tussock forming graminoid;epigeogeneous stems;rhizomatous,rhizomatous,0.9;0.3;0.825;0.3-0.9,pubescent,,,,,abaxial;erect;adaxial,flat;drooping;pointed;simple,acute,,entire;flat;scabrous,hairy,1.2;0.4,35;1.5,8;0.4,35,,,,,,,green,,,,,,,,,,,wind,,,,,,,,,,domestic animal;water;   pig,awned;awn;hairless;awns;hairs,,,01-Oct,,,,,,,16,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 11}, 'fna': {'text': 12, 'tabular': 0}}"
Briza media,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats;Dry grasslands;Perennial calcareous grassland and basic steppes,Stem erect ,rhizomes;epigeogeneous stems;hypogeogeneous stems;rhizomatous;Rhizome shortly creeping,rhizomes;rhizomatous,0.6;0.15;0.15-0.75;0.165,,,,,,basal,flat;simple,acute,,entire;flat,glabrous,0.19;0.2,15;0.32,4;0.2,15;16,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   sheep;   cattle;   shaken fresh water;   standing fresh water;   commerce,hairless,,,,,,,,,,10,fibrous,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 0}}"
Calamagrostis canescens,perennial;perennials;hemicryptophyte,Poor fens,Stem erect ,Rhizome far creeping;rhizomes;epigeogeneous stems,rhizomes,0.6-1.2;1.3; 0.7;0.5;1.5,,,,,convolute,,convolute;flat;simple,acute,,entire;flat,soft hairs,0.3,40,0.3,40,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,domestic animal;   pig;   shaken fresh water,awn;hairs,,,,,,,,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 11}, 'fna': {'tabular': 0}}"
Callitriche stagnalis,perennial;therophyte;perennials;annuals;annual,"Standing water, stream margins, backwaters, ponds, pools, ditches.;terrestrial;Aquatic","Floating leaves, attached to the substrate ;Stem ascending to prostrate ;Submerged, attached to the substrate",Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;Seeds,Stem,0.004-0.009;0.001-0.004,,,,,,rosette,emarginate;linear;simple;circular,emarginate,rounded,entire;linear,glabrous,1,2,1,2,,,,,,,green,,,,monoecious,,,,,,,wind,,,,,,,,,,bird,,,4,01-Oct,0.12,0.25,0.12,0.25,,,10,adventitious,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 17, 'tabular': 12}, 'fna': {'text': 3, 'tabular': 1}}"
Calluna vulgaris,perennials;evergreen;phanerophyte,"Coniferous woodland;Wet acidic sites in bogs and fens, upland sites in old pastures and roadsides;[Pinus] taiga woodland",Stem erect ;Shrubs;shrub;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;epigeogeneous stems;Seeds;Little or no vegetative spread;root-splitters,stems,0.6;0.08; 0.6; 0.65; 2.2;0.08,,,,,sessile,imbricate;opposite,concave;lanceolate;simple;ovate;revolute;pointed;oblong;keeled;linear,concave;ovate;obtuse,auriculate,entire;linear;ovate;revolute,glabrous;soft hairs,0.1;0.05,15;0.07,0.25;0.1,15;0.35,,,,4-merous,,,white;pink;pinkish;purple,,,,hermaphrodite,8,,,,,,wind,,,,,,,,,,   rabbit;bird;water;   sheep;   deer;   horse;   cattle;domestic animal;   shaken fresh water;   mammal;   hare,filaments,,41,10-100,0.2,0.7,0.2,0.7,,,16,tap root,shallow,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 15}, 'fna': {'text': 20, 'tabular': 1}}"
Caltha palustris,perennial;perennials;hemicryptophyte,"Marshes, fens, ditches, wet woods and swamps, thriving best in open or only partly shaded sites;Broadleaved deciduous woodland;Cultivated areas of gardens and parks",Stem erect ;Stem prostrate ;procumbent;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;rhizomes;epigeogeneous stems;Little or no vegetative spread;Seeds,stems;rhizomes;Stems,0.3;0.3; 0.225,glabrous,glabrous,,,,Basal;basal,dentate;reniform;ovate;simple,ovate;obtuse,cordate;rounded,crenate;entire;denticulate;ovate,glabrous,2,19,2,12,,,,,,,yellow,,,,hermaphrodite,50,,,May-13,,,insect,,dry,,,,,,,,water;   commerce;   standing fresh water,,,,10-100,2.5;1.5,2.5,2.5;1.5,2.5,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 13}, 'fna': {'text': 15, 'tabular': 1}}"
Calystegia sepium,perennial;perennials;hemicryptophyte,,Lianas and climbers,stoloniferous;hypogeogeneous stems;rhizomatous;spacers above and renewal buds below soil surface: offspring tubers at distal end of above-ground stems;Rhizomes;Stolons;seeds;Rhizome far creeping,stoloniferous;rhizomatous;Rhizomes;Stolons;Stems,1.0;0.15; 2.0; 1.0;3.0,pubescent;glabrous,glabrous,,,,,acuminate;simple;ovate;obtuse,acuminate;apiculate;ovate;obtuse,cordate,acuminate;entire;ovate,glabrous,15,15,15,15,,,,,,,pink;white,,,,hermaphrodite,17,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   standing fresh water,Filaments,brown,4,01-Oct,4,7,4,7,,,,,deep,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 20, 'tabular': 15}, 'fna': {'tabular': 0}}"
Campanula rotundifolia,perennial;perennials;hemicryptophyte,Perennial calcareous grassland and basic steppes;Arctic. alpine and subalpine scrub habitats;Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,rhizomes;buds;hypogeogeneous stems;epigeogeneous stems;adventitious buds on roots;Buds;Rhizome shortly creeping;root-splitters,stem;stems;rhizomes;Stems,0.15;0.4;0.19,glabrous,glabrous,,,sessile,decumbent;erect,lanceolate;simple;ovate;serrate;linear,acute;ovate;obtuse,cordate,entire;ovate;serrate;crenate;linear,glabrous,0.5,1.5,0.5,1.5,panicle;raceme,,,,,slender;branched,blue,,,,hermaphrodite,5,,,,,,insect,,,,,,,,,,water;   sheep;   cattle;domestic animal;   horse;   shaken fresh water;   commerce,,,200,10-100,,,,,,,,tap root;adventitious,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 19, 'tabular': 17}, 'fna': {'tabular': 0}}"
Cardamine flexuosa,perennial;biennials;hemicryptophyte;Annuals;perennials;annuals;annual;biennial;strict monocarpic bi-annuals and poly-annuals,"Disturbed areas, fields, nurseries, plantations, gardens, flower beds, lawns, roadsides;Broadleaved deciduous woodland;Meso- and eutrophic [Quercus]. [Carpinus]. [Fraxinus]. [Acer]. [Tilia]. [Ulmus] and related woodland",Stem erect ;Stem ascending to prostrate ,Seeds;Little or no vegetative spread;Rhizomes,stem;tap root;Stems;Rhizomes,0.1-0.5;0.1;0.5;0.3; 0.1; 0.25,hairy,hairy;no,,pinnate,sessile,Basal;lateral;terminal;rosette;loose;Cauline,elliptic;ovate;lobed;compound;pinnate;oblong;reniform,lobed;ovate;obtuse,rounded,elliptic;entire;lobed;ovate;crenate;repand,soft hairs,5.5,19,5.5,19,corymbose,,,,,oblong,white,,white,,hermaphrodite,6;4,,,,,,,,,,linear,,,,,,   car or other vehicle;water;   shaken fresh water,filaments,brown,,10-100,0.6;1,1.2;1.5,0.6;1,1.2;1.5,,,32,tap root,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 21, 'tabular': 13}, 'fna': {'text': 22, 'tabular': 1}}"
Cardamine pratensis,perennial;perennials;Perennials;hemicryptophyte,"Beds of large sedges normally without free-standing water;Moist grounds, stream sides, limestone shores, sedge and grass meadows, marshy pond margins, mossy areas, wet hollows, boggy areas, turfy shores, damp creek banks, swamps, brooks and ditches, moist ravines, springy swales",Stem erect ,rhizomes;buds;epigeogeneous stems;Rhizomes;Little or no vegetative spread;CGO of leaf-origin: buds on leaves (gemmipary);Seeds,stems;rhizomes;Rhizomes;stem;Stems,0.25;0.15;0.15-0.6;0.6,glabrous,glabrous,,pinnate,sessile,Basal;lateral;terminal;rosette;Cauline,compound;lanceolate;raised,obtuse,,entire;raised,hairy,2,17,2,17,corymbose,,,,,oblong;ovate,pink,,lilac;white;purple,,hermaphrodite,,,,,,,insect,,,,linear,,,,,,   commerce;   clothes and footwear;   cattle,filaments,brown,20,,1,2,1,2,,,16,,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 14}, 'fna': {'text': 21, 'tabular': 1}}"
Carex acutiformis,perennial;perennials;helophyte,"Open swamps, wet, open thickets, marsh edges, sedge meadows, lakeshores;Broadleaved deciduous woodland;colonial",Stem erect ,rhizomes;epigeogeneous stems;hypogeogeneous stems;rhizomatous;Rhizome far creeping,stems;rhizomes;rhizomatous;stem;Stems,0.6;0.75;0.6-1.5;1.5,glabrous,glabrous,,,,basal,keeled;simple,acute,,plicate;entire;serrulate,glabrous,0.7,1,,,,,,,,,purple brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   standing fresh water,awn,,,,2,2,2,2,,,78,fibrous;adventitious,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 13}, 'fna': {'text': 6, 'tabular': 1}}"
Carex appropinquata,perennial;perennials;hemicryptophyte,Beds of large sedges normally without free-standing water;Cultivated areas of gardens and parks,Stem erect ,hypogeogeneous stems;Tussock forming graminoid;epigeogeneous stems;Rhizomes,Stems;stems;Rhizomes,0.8;0.3;0.35,glabrous,glabrous,,,,,flat;simple,acute,,entire;flat,glabrous,0.2,0.3,20,80,panicle;spikes,,,,,,red-brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water,,,,,2,2,2,2,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 12}, 'fna': {'tabular': 0}}"
Carex aquatilis,perennial;perennials;helophyte,Beds of large sedges normally without free-standing water;Tundra,Stem erect ,Rhizome far creeping;epigeogeneous stems,stem;Stems,1.0;1;0.2,glabrous,glabrous,,,,basal,keeled;concave;flat;simple,concave;acute,,entire;flat,glabrous,0.3,0.5,50,1.30E+02,,,,,,,purple brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   hay making machinery,awnless,,,,1.8,1.8,1.8,1.8,,,72,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'text': 3, 'tabular': 0}}"
Carex arenaria,perennial;perennials;hemicryptophyte,"Dry heaths;Coastal stable dune grassland (grey dunes);Maritime sand dunes and sandy, disturbed areas near the coast, 0–30 m",Stem erect ,Rhizome far creeping;hypogeogeneous stems,stems;Stems,0.15-0.6;0.4;0.1;0.375,glabrous;scabrous,glabrous,,,,,concave;flat;simple,recurved;concave;acute,,entire;recurved;flat,glabrous,0.15,0.4;0.35,60,60,head,,,,,,red brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   car or other vehicle;water,,,19,10-100,1.8,1.8,1.8,1.8,,,58,fibrous;tap root,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 17}, 'fna': {'text': 7, 'tabular': 1}}"
Carex atrofusca,perennial;hemicryptophyte,"Sedge meadows, moist shores",Stem erect ,Tussock forming graminoid;rhizomes;epigeogeneous stems;rhizomatous,stems;rhizomes;rhizomatous;stem;Stems,0.1; 0.15;0.05;0.35000000000000003;0.1-0.35,glabrous,glabrous,,,,,flat;simple,acute,,entire;flat,glabrous,0.2,0.5;0.4,2,12,,,,,,,dark red-brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water,,,,,1.5,1.5,1.5,1.5,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'text': 4, 'tabular': 1}}"
Carex bigelowii,perennial;perennials;hemicryptophyte,Heathland. scrub and tundra habitats;Tundra;Alpine and subalpine grasslands,Stem erect ,Rhizome shortly creeping;hypogeogeneous stems,stem;stipe;Stems,0.05;0.05-0.25;0.3;0.07; 0.14,glabrous,glabrous,,,,spots;proximal,concave;simple;revolute;acuminate;keeled,acute;recurved;concave;acuminate,,entire;recurved;acuminate;revolute,glabrous,0.15;0.4,0.7;0.4,0.4,0.7,,,,,,,black,,,,monoecious,,,,,,,wind,nut,,,ovoid;ellipsoid;biconvex,,,,,,   shaken fresh water;   deer,awnless,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'text': 8, 'tabular': 0}}"
Carex binervis,perennial;perennials;hemicryptophyte,,Stem erect ,Tussock forming graminoid;hypogeogeneous stems,stem;stems,0.6;0.15;1.5,glabrous,glabrous,,,,,point;keeled;tapering;simple,acute,,entire,glabrous,0.6,0.8,7,30,,,,,,,dark purple brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   cattle,,,,,2,2,2,2,,,,fibrous,,0.0-10.0,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 14, 'tabular': 13}, 'fna': {'tabular': 0}}"
Carex capillaris,perennial;hemicryptophyte,"Mesic to moist tundra, seeps on cliffs, rocks, and slopes, fens, meadows, shores, prairie sloughs, edges of sphagnum mats, moist woods",Stem erect ,Tussock forming graminoid;epigeogeneous stems,stem;Stems,0.6;0.4;0.1;0.2,glabrous,glabrous,,,,basal,subulate;folded;tapered;simple;flat,recurved;acute,,entire;recurved;flat,glabrous,0.1,0.25;0.4,2;5,10;9,,,,,,,brown,,,,monoecious,,,,,,,wind,,,,,,,,,,,,,,,2,2,2,2,,,54,fibrous,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 17, 'tabular': 12}, 'fna': {'text': 8, 'tabular': 1}}"
Carex caryophyllea,perennial;perennials;hemicryptophyte,"Grassland and tall forb habitats;Dry pastures, graveyards;Perennial calcareous grassland and basic steppes",Stem erect ,Rhizome shortly creeping;hypogeogeneous stems;rhizomatous,Stems;stems;rhizomatous,0.09;0.15;0.05;0.04-0.35,glabrous;scabrous,glabrous,,,,basal,point;flat;simple;tapered,recurved;acute,,entire;recurved;flat,glabrous,0.15,0.3,7;20,25;20,,,,,,,brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   ant,awn;hair;hairs,,,,2,2,2,2,,,58,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 12}, 'fna': {'text': 9, 'tabular': 1}}"
Carex curta,perennial;perennials;hemicryptophyte,Raised and blanket bogs,Stem erect ,Rhizome shortly creeping;rhizomatous,Stems;stems;rhizomatous,0.5;0.325;0.25-0.5;0.2,glabrous,glabrous,,,,,keeled;flat;simple;tapering,acute,,entire;flat,glabrous,0.2,0.3,0.2,0.3,spikes,,,,,,,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   standing fresh water,,,,,1.5,2,1.5,2,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 11}, 'fna': {'tabular': 0}}"
Carex demissa,perennial;perennials;hemicryptophyte,Base-rich fens;Moist and wet dune slacks,Stem erect ,Tussock forming graminoid;epigeogeneous stems;Rhizomes,Stems;stem;Rhizomes,0.6;0.125;0.05,glabrous,,,,,,point;keeled;blunt;simple,acute,,entire,,0.3,0.54,10,40,,,,,,,orange-brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   standing fresh water,,,,,1.5,1.5,1.5,1.5,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 9}, 'fna': {'tabular': 0}}"
Carex diandra,perennial;perennials;hemicryptophyte,"Swampy, marshy, or boggy areas, especially wet meadows, fens, muskegs, floating mats, and peaty or marly shores of lakes and ponds (often in shallow, sometimes brackish water), less often swales, springy thickets, ditches, and wet sandy beaches of nonalkaline lakes",Stem erect ;tussock,Rhizome shortly creeping;rhizomes;hypogeogeneous stems,stems;rhizomes;Stems,0.6;0.4;0.02-0.9;0.2,glabrous,glabrous,,,,,tapering;simple;convex;flat;truncate,convex;acute,,toothed;serrulate;flat,glabrous,0.1,0.25;0.2,20;30,40;47,head;spikes,bisexual,,,,straight;branch;unbranched;branches,purple-brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   standing fresh water,,,,,2,2,2,2,,,48,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 18, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 1}}"
Carex dioica,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats,Stem erect ,Rhizome shortly creeping;hypogeogeneous stems;rhizome,stems;rhizome;Stems,0.15;0.1;0.05,glabrous,glabrous,,,,,circular;simple,acute,rounded,entire,glabrous,0.05,0.1,5,20,spike,unisexual,,,,,red-brown,,,,dioecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water,,,,,1.3,1.3,1.3,1.3,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 18, 'tabular': 12}, 'fna': {'tabular': 0}}"
Carex disticha,perennial;perennials;hemicryptophyte,"Moist or wet oligotrophic grassland;Wet meadows, stream banks, disturbed areas",Stem erect ,Rhizome far creeping;hypogeogeneous stems,stems;Stems,0.8;0.3-1.2;0.2-0.8;0.2;0.425,glabrous;scabrous,glabrous,,,,basal,keeled;flat;simple;tapering,acute,,entire;flat,glabrous,0.18;0.2,0.52;0.4,15,60,spikes,,,,,,pale red brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;   hay making machinery;   standing fresh water,,,,,1.8,1.8,1.8,1.8,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'text': 5, 'tabular': 1}}"
Carex echinata,perennial;perennials;hemicryptophyte,,Stem erect ,rooting horizontal stems at or above soil surface;rhizomes;Tussock forming graminoid;epigeogeneous stems,stems;rhizomes;Stems,0.25;0.9;0.4;0.1,glabrous,glabrous,,,,,tapering;simple,acute,,plicate;entire,glabrous,0.1;0.33,0.25;0.38,5;30,40;30,,,,,,,pale brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   horse;   standing fresh water,,,,,2,2,2,2,,,58,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'text': 7, 'tabular': 0}}"
Carex elata,perennial;perennials;hemicryptophyte,,Stem erect ;tussocks;tussock,Tussock forming graminoid;epigeogeneous stems;rhizomes;hypogeogeneous stems,stem;stems;rhizomes;Stems,0.9,glabrous,glabrous,,,,,keeled;simple,acute,,plicate;entire,glabrous,0.4,0.6,40,1.00E+02,,,,,,,purple,,,,monoecious,,,,,,,wind,,,,,,,,,,bird;water;   shaken fresh water,filamentous,,,,2,2,2,2,,,,,,0.2,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 18, 'tabular': 12}, 'fna': {'tabular': 0}}"
Carex flacca,perennial;perennials;hemicryptophyte,"Abandoned quarries, ditches, marshes, wet forest edges;Perennial calcareous grassland and basic steppes",Stem erect ,hypogeogeneous stems;Rhizome far creeping;epigeogeneous stems;Rhizomes,Stems;stems;stem;Rhizomes,0.4;0.2; 0.35;0.1;0.35;0.0015,glabrous;scabrous,glabrous,,,,spotted;proximal,tapering;simple;point;flat;keeled,acute,,entire;flat,glabrous,0.3;0.2,0.4;0.3,50;35,50;35,,,,,,,purple-brown,,,,monoecious,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   sheep,,,,,1.5,1.5,1.5,1.5,,,,fibrous,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 14}, 'fna': {'text': 7, 'tabular': 1}}"
Carex hirta,perennial;perennials;hemicryptophyte,"Dry to wet fields, ditches, roadsides, railroad embankments, disturbed stream banks, lakeshores, and open forests",Stem erect ;Stem ascending to prostrate ,hypogeogeneous stems;Rhizome far creeping;epigeogeneous stems,stem;stems;Stems,0.3-0.7;0.45;0.2-0.9;0.15;0.7000000000000001,hairy;glabrous,glabrous,,,,basal,tapering;simple;point;flat;keeled,acute,,entire;flat,hairy,0.25;0.4,0.8,10,15,,,,,,,red-brown,,,,monoecious,,,,,,,wind,,,,,,,,,,bird;   shaken fresh water;   erosion material,awn;awned;hairs,,,,2,3,2,3,,,1.10E+02,fibrous,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'text': 6, 'tabular': 1}}"
Carex hostiana,perennial;perennials;hemicryptophyte,"Grassland and tall forb habitats;Rich fens. including eutrophic tall-herb fens and calcareous flushes and soaks;Moist to wet, open fens and meadows, on lime-rich soils",Stem erect ,Tussock forming graminoid;epigeogeneous stems,stem;stems;Stems,0.5;0.15;0.2,glabrous,,,,,parallel,flat;simple,acute,,entire;flat,,0.31;0.2,0.5;0.43,14;5,14;30,staminate;spikes,,,,,,brown,,,,monoecious,,,,,,,wind,nut,,,obovoid,,,,,,   shaken fresh water;water,,,,,,,,,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 9}, 'fna': {'text': 6, 'tabular': 1}}"
